,SalesOrderNumber,Cluster Labels without Region,Cluster Labels with Region
8287,54397,0,2
8288,54398,1,2
8289,54399,0,2
8290,54400,0,2
8291,54401,1,2
8292,54402,1,2
8293,54403,0,2
8294,54404,1,2
8295,54405,1,2
8296,54406,2,2
8297,54407,2,2
8298,54408,1,2
8299,54409,1,2
8300,54410,1,2
8301,54411,0,2
8302,54412,0,2
8303,54413,0,2
8304,54414,0,2
8305,54415,1,2
8306,54416,0,2
8307,54417,0,2
8308,54418,1,0
8309,54419,1,2
8310,54420,0,2
8311,54421,1,0
8312,54422,1,0
8313,54423,2,2
8314,54424,0,2
8315,54425,0,0
8316,54426,0,2
8317,54427,0,2
8318,54428,1,2
8319,54429,1,2
8320,54430,0,2
8321,54431,1,0
8322,54432,2,2
8323,54433,0,2
8324,54434,0,2
8325,54435,0,2
8326,54436,2,2
8327,54437,1,0
8328,54438,1,0
8329,54439,0,2
8330,54440,1,2
8331,54441,0,2
8332,54442,0,2
8333,54443,0,2
8334,54444,0,2
8335,54445,0,2
8336,54446,0,2
8337,54447,1,2
8338,54448,0,2
8339,54449,0,2
8340,54450,1,2
8341,54451,0,2
8342,54452,1,2
8343,54453,1,2
8344,54454,2,2
8345,54455,2,2
8346,54456,1,2
8347,54457,2,2
8348,54458,1,2
8349,54459,0,2
8350,54460,1,2
8351,54461,1,2
8352,54462,1,2
8353,54463,1,2
8354,54464,1,2
8355,54465,0,2
8356,54466,1,2
8357,54467,1,2
8358,54468,0,0
8359,54469,0,2
8360,54470,1,0
8361,54471,1,0
8362,54472,0,2
8363,54473,2,2
8364,54474,0,2
8365,54475,1,0
8366,54476,1,2
8367,54477,1,0
8368,54478,0,2
8369,54479,1,2
8370,54480,0,2
8371,54481,0,2
8372,54482,1,2
8373,54483,0,2
8374,54484,1,2
8375,54485,2,2
8376,54486,1,2
8377,54487,1,2
8378,54488,1,2
8379,54489,0,2
8380,54490,1,2
8381,54491,0,2
8382,54492,0,2
8383,54493,0,2
8384,54494,0,2
8385,54495,1,2
8386,54496,1,2
8387,54497,1,2
8388,54498,1,2
8389,54499,1,2
8390,54500,1,2
8391,54501,1,2
8392,54502,1,2
8393,54503,1,2
8394,54504,1,2
8395,54505,1,2
8396,54506,1,2
8397,54507,1,2
8398,54508,2,2
8399,54509,0,2
8400,54510,1,2
8401,54511,1,2
8402,54512,1,0
8403,54513,1,0
8404,54514,1,2
8405,54515,1,2
8406,54516,1,2
8407,54517,0,2
8408,54518,0,2
8409,54519,0,0
8410,54520,1,2
8411,54521,0,2
8412,54522,1,2
8413,54523,1,2
8414,54524,0,2
8415,54525,1,0
8416,54526,1,2
8417,54527,0,2
8418,54528,2,2
8419,54529,1,2
8420,54530,0,2
8421,54531,0,2
8422,54532,0,2
8423,54533,0,2
8424,54534,0,2
8425,54535,1,0
8426,54536,0,2
8427,54537,2,2
8428,54538,2,2
8429,54539,1,2
8430,54540,1,2
8431,54541,1,2
8432,54542,0,2
8433,54543,0,2
8434,54544,1,2
8435,54545,2,2
8436,54546,0,2
8437,54547,0,2
8438,54548,0,2
8439,54549,0,2
8440,54550,0,2
8441,54551,1,2
8442,54552,2,2
8443,54553,1,2
8444,54554,0,2
8445,54555,0,2
8446,54556,0,2
8447,54557,2,2
8448,54558,0,2
8449,54559,1,2
8450,54560,1,2
8451,54561,1,2
8452,54562,1,2
8453,54563,1,2
8454,54564,1,2
8455,54565,1,2
8456,54566,1,2
8457,54567,2,2
8458,54568,1,2
8459,54569,1,2
8460,54570,1,2
8461,54571,1,2
8462,54572,0,2
8463,54573,2,2
8464,54574,2,2
8465,54575,0,2
8466,54576,0,2
8467,54577,2,2
8468,54578,0,2
8469,54579,2,2
8470,54580,0,2
8471,54581,0,2
8472,54582,0,2
8473,54583,0,2
8474,54584,0,2
8475,54585,2,2
8476,54586,2,2
8477,54587,1,0
8478,54588,0,2
8479,54589,1,0
8480,54590,1,0
8481,54591,0,2
8482,54592,2,2
8483,54593,0,2
8484,54594,0,2
8485,54595,1,2
8486,54596,1,2
8487,54597,0,2
8488,54598,1,0
8489,54599,1,0
8490,54600,1,2
8491,54601,0,2
8492,54602,0,2
8493,54603,1,0
8494,54604,0,0
8495,54605,0,2
8496,54606,0,2
8497,54607,0,2
8498,54608,0,2
8499,54609,1,2
8500,54610,1,2
8501,54611,0,2
8502,54612,0,2
8503,54613,1,2
8504,54614,0,2
8505,54615,0,2
8506,54616,0,2
8507,54617,0,2
8508,54618,0,2
8509,54619,1,2
8510,54620,1,2
8511,54621,2,2
8512,54622,0,2
8513,54623,1,2
8514,54624,0,2
8515,54625,0,2
8516,54626,0,2
8517,54627,0,2
8518,54628,1,2
8519,54629,1,2
8520,54630,1,2
8521,54631,1,2
8522,54632,1,2
8523,54633,1,2
8524,54634,1,2
8525,54635,1,2
8526,54636,1,2
8527,54637,1,2
8528,54638,0,2
8529,54639,0,2
8530,54640,1,0
8531,54641,1,2
8532,54642,0,2
8533,54643,0,2
8534,54644,2,2
8535,54645,2,2
8536,54646,2,2
8537,54647,0,2
8538,54648,0,0
8539,54649,0,2
8540,54650,0,2
8541,54651,1,2
8542,54652,0,2
8543,54653,0,2
8544,54654,1,0
8545,54655,1,2
8546,54656,2,2
8547,54657,0,2
8548,54658,2,2
8549,54659,1,0
8550,54660,2,2
8551,54661,0,2
8552,54662,0,2
8553,54663,1,2
8554,54664,1,2
8555,54665,1,2
8556,54666,0,2
8557,54667,0,2
8558,54668,0,2
8559,54669,1,2
8560,54670,1,2
8561,54671,1,0
8562,54672,1,0
8563,54673,1,0
8564,54674,1,2
8565,54675,1,2
8566,54676,0,2
8567,54677,2,2
8568,54678,0,2
8569,54679,1,2
8570,54680,1,2
8571,54681,0,2
8572,54682,0,2
8573,54683,1,2
8574,54684,0,2
8575,54685,1,2
8576,54686,0,2
8577,54687,1,2
8578,54688,1,2
8579,54689,0,2
8580,54690,1,2
8581,54691,1,2
8582,54692,1,2
8583,54693,1,2
8584,54694,1,2
8585,54695,0,2
8586,54696,0,2
8587,54697,0,2
8588,54698,1,2
8589,54699,0,2
8590,54700,1,0
8591,54701,1,0
8592,54702,1,2
8593,54703,2,2
8594,54704,0,2
8595,54705,0,0
8596,54706,0,0
8597,54707,1,2
8598,54708,1,2
8599,54709,0,2
8600,54710,0,2
8601,54711,0,2
8602,54712,1,2
8603,54713,1,2
8604,54714,2,2
8605,54715,1,0
8606,54716,0,2
8607,54717,0,2
8608,54718,1,2
8609,54719,0,2
8610,54720,0,2
8611,54721,0,2
8612,54722,0,2
8613,54723,1,2
8614,54724,1,0
8615,54725,1,2
8616,54726,0,2
8617,54727,0,2
8618,54728,1,2
8619,54729,0,2
8620,54730,0,2
8621,54731,0,2
8622,54732,0,2
8623,54733,0,2
8624,54734,1,2
8625,54735,1,2
8626,54736,1,2
8627,54737,0,2
8628,54738,1,2
8629,54739,0,2
8630,54740,2,2
8631,54741,1,2
8632,54742,1,2
8633,54743,1,2
8634,54744,1,2
8635,54745,1,2
8636,54746,1,2
8637,54747,1,2
8638,54748,1,2
8639,54749,1,2
8640,54750,1,2
8641,54751,1,2
8642,54752,1,2
8643,54753,0,2
8644,54754,2,2
8645,54755,0,2
8646,54756,0,2
8647,54757,1,0
8648,54758,1,0
8649,54759,0,2
8650,54760,1,0
8651,54761,0,2
8652,54762,0,2
8653,54763,1,2
8654,54764,0,2
8655,54765,1,2
8656,54766,0,2
8657,54767,1,2
8658,54768,1,2
8659,54769,0,2
8660,54770,1,0
8661,54771,1,2
8662,54772,0,2
8663,54773,0,2
8664,54774,1,0
8665,54775,0,2
8666,54776,1,2
8667,54777,1,2
8668,54778,0,2
8669,54779,1,2
8670,54780,2,2
8671,54781,0,2
8672,54782,0,2
8673,54783,1,2
8674,54784,1,2
8675,54785,0,2
8676,54786,0,2
8677,54787,0,2
8678,54788,1,2
8679,54789,0,2
8680,54790,0,2
8681,54791,2,2
8682,54792,1,2
8683,54793,1,2
8684,54794,0,2
8685,54795,1,2
8686,54796,1,2
8687,54797,1,2
8688,54798,1,2
8689,54799,0,2
8690,54800,0,2
8691,54801,0,0
8692,54802,0,0
8693,54803,0,2
8694,54804,0,2
8695,54805,1,2
8696,54806,0,2
8697,54807,0,2
8698,54808,0,0
8699,54809,0,2
8700,54810,2,2
8701,54811,0,2
8702,54812,0,2
8703,54813,0,2
8704,54814,0,2
8705,54815,0,2
8706,54816,1,0
8707,54817,1,2
8708,54818,1,2
8709,54819,2,2
8710,54820,1,0
8711,54821,1,0
8712,54822,2,2
8713,54823,0,2
8714,54824,2,2
8715,54825,1,2
8716,54826,2,2
8717,54827,2,2
8718,54828,0,2
8719,54829,1,2
8720,54830,1,2
8721,54831,0,2
8722,54832,0,2
8723,54833,1,2
8724,54834,1,2
8725,54835,0,2
8726,54836,0,2
8727,54837,0,2
8728,54838,2,2
8729,54839,0,2
8730,54840,1,2
8731,54841,0,2
8732,54842,1,2
8733,54843,0,2
8734,54844,1,2
8735,54845,0,2
8736,54846,0,2
8737,54847,0,2
8738,54848,0,2
8739,54849,0,2
8740,54850,0,2
8741,54851,1,2
8742,54852,1,2
8743,54853,2,2
8744,54854,1,2
8745,54855,2,2
8746,54856,2,2
8747,54857,1,2
8748,54858,1,2
8749,54859,2,2
8750,54860,2,2
8751,54861,1,2
8752,54862,0,2
8753,54863,2,2
8754,54864,0,2
8755,54865,0,2
8756,54866,0,2
8757,54867,2,2
8758,54868,0,2
8759,54869,0,2
8760,54870,2,2
8761,54871,1,2
8762,54872,0,2
8763,54873,1,0
8764,54874,1,2
8765,54875,2,2
8766,54876,1,2
8767,54877,1,2
8768,54878,1,2
8769,54879,2,2
8770,54880,1,0
8771,54881,1,0
8772,54882,1,0
8773,54883,1,2
8774,54884,0,2
8775,54885,0,2
8776,54886,1,2
8777,54887,0,2
8778,54888,1,2
8779,54889,0,2
8780,54890,1,2
8781,54891,1,2
8782,54892,0,2
8783,54893,0,2
8784,54894,0,2
8785,54895,0,2
8786,54896,1,0
8787,54897,0,2
8788,54898,2,2
8789,54899,0,2
8790,54900,0,2
8791,54901,1,2
8792,54902,0,2
8793,54903,0,2
8794,54904,0,2
8795,54905,0,2
8796,54906,1,2
8797,54907,1,2
8798,54908,0,2
8799,54909,0,2
8800,54910,2,2
8801,54911,1,2
8802,54912,2,2
8803,54913,1,2
8804,54914,1,2
8805,54915,0,2
8806,54916,1,2
8807,54917,1,2
8808,54918,1,2
8809,54919,1,2
8810,54920,0,2
8811,54921,1,2
8812,54922,0,2
8813,54923,0,2
8814,54924,0,2
8815,54925,2,2
8816,54926,0,2
8817,54927,2,2
8818,54928,0,0
8819,54929,1,2
8820,54930,0,2
8821,54931,1,2
8822,54932,0,2
8823,54933,0,2
8824,54934,2,2
8825,54935,0,2
8826,54936,0,2
8827,54937,1,2
8828,54938,0,2
8829,54939,2,2
8830,54940,1,0
8831,54941,1,0
8832,54942,0,2
8833,54943,0,2
8834,54944,2,2
8835,54945,0,2
8836,54946,1,2
8837,54947,1,2
8838,54948,2,2
8839,54949,1,2
8840,54950,1,2
8841,54951,0,2
8842,54952,2,2
8843,54953,1,2
8844,54954,0,2
8845,54955,1,2
8846,54956,1,2
8847,54957,1,2
8848,54958,2,2
8849,54959,1,2
8850,54960,0,2
8851,54961,0,2
8852,54962,0,2
8853,54963,0,2
8854,54964,0,2
8855,54965,0,2
8856,54966,2,2
8857,54967,2,2
8858,54968,0,0
8859,54969,1,2
8860,54970,2,2
8861,54971,0,2
8862,54972,2,2
8863,54973,0,2
8864,54974,1,2
8865,54975,2,2
8866,54976,0,2
8867,54977,2,2
8868,54978,0,2
8869,54979,0,2
8870,54980,0,2
8871,54981,2,2
8872,54982,0,2
8873,54983,1,0
8874,54984,0,2
8875,54985,1,2
8876,54986,1,2
8877,54987,0,2
8878,54988,2,2
8879,54989,0,2
8880,54990,1,2
8881,54991,0,2
8882,54992,1,2
8883,54993,0,2
8884,54994,1,2
8885,54995,0,2
8886,54996,0,2
8887,54997,0,2
8888,54998,0,2
8889,54999,1,2
8890,55000,1,2
8891,55001,0,2
8892,55002,1,2
8893,55003,1,2
8894,55004,1,2
8895,55005,1,2
8896,55006,0,2
8897,55007,1,2
8898,55008,0,2
8899,55009,1,2
8900,55010,1,2
8901,55011,1,2
8902,55012,0,2
8903,55013,0,2
8904,55014,1,2
8905,55015,0,2
8906,55016,0,2
8907,55017,0,0
8908,55018,0,0
8909,55019,2,2
8910,55020,0,2
8911,55021,1,0
8912,55022,1,2
8913,55023,0,2
8914,55024,0,2
8915,55025,0,2
8916,55026,0,2
8917,55027,1,2
8918,55028,1,2
8919,55029,1,2
8920,55030,0,2
8921,55031,0,2
8922,55032,1,0
8923,55033,2,2
8924,55034,0,2
8925,55035,0,2
8926,55036,0,2
8927,55037,1,2
8928,55038,0,2
8929,55039,1,2
8930,55040,0,2
8931,55041,0,2
8932,55042,1,0
8933,55043,1,2
8934,55044,0,2
8935,55045,0,2
8936,55046,1,2
8937,55047,0,2
8938,55048,0,2
8939,55049,0,2
8940,55050,0,2
8941,55051,1,2
8942,55052,0,2
8943,55053,0,2
8944,55054,0,2
8945,55055,0,2
8946,55056,0,2
8947,55057,0,2
8948,55058,0,2
8949,55059,1,2
8950,55060,1,2
8951,55061,0,2
8952,55062,0,2
8953,55063,1,2
8954,55064,2,2
8955,55065,1,2
8956,55066,1,2
8957,55067,1,2
8958,55068,1,2
8959,55069,1,2
8960,55070,1,2
8961,55071,1,2
8962,55072,1,2
8963,55073,0,2
8964,55074,1,2
8965,55075,1,0
8966,55076,1,2
8967,55077,0,2
8968,55078,1,0
8969,55079,0,2
8970,55080,2,2
8971,55081,0,2
8972,55082,0,2
8973,55083,0,2
8974,55084,2,2
8975,55085,2,2
8976,55086,1,2
8977,55087,0,2
8978,55088,0,2
8979,55089,0,2
8980,55090,1,2
8981,55091,1,0
8982,55092,0,2
8983,55093,1,0
8984,55094,1,2
8985,55095,1,2
8986,55096,2,2
8987,55097,0,2
8988,55098,0,2
8989,55099,2,2
8990,55100,0,2
8991,55101,1,2
8992,55102,1,2
8993,55103,0,2
8994,55104,0,2
8995,55105,0,2
8996,55106,1,2
8997,55107,1,2
8998,55108,0,2
8999,55109,0,2
9000,55110,2,2
9001,55111,1,2
9002,55112,0,2
9003,55113,0,2
9004,55114,1,2
9005,55115,1,2
9006,55116,1,2
9007,55117,1,2
9008,55118,1,2
9009,55119,1,2
9010,55120,1,2
9011,55121,1,2
9012,55122,1,2
9013,55123,1,2
9014,55124,0,2
9015,55125,2,2
9016,55126,0,2
9017,55127,0,2
9018,55128,1,2
9019,55129,0,2
9020,55130,2,2
9021,55131,0,2
9022,55132,1,0
9023,55133,0,2
9024,55134,0,2
9025,55135,0,2
9026,55136,1,2
9027,55137,1,0
9028,55138,1,0
9029,55139,0,2
9030,55140,0,2
9031,55141,1,0
9032,55142,0,2
9033,55143,0,2
9034,55144,1,2
9035,55145,1,0
9036,55146,1,0
9037,55147,0,2
9038,55148,0,2
9039,55149,0,2
9040,55150,0,2
9041,55151,1,2
9042,55152,1,2
9043,55153,1,2
9044,55154,0,2
9045,55155,1,2
9046,55156,2,2
9047,55157,0,2
9048,55158,1,2
9049,55159,0,2
9050,55160,0,2
9051,55161,0,2
9052,55162,1,2
9053,55163,0,2
9054,55164,1,2
9055,55165,1,2
9056,55166,1,2
9057,55167,1,2
9058,55168,1,2
9059,55169,1,2
9060,55170,1,2
9061,55171,1,2
9062,55172,0,2
9063,55173,1,2
9064,55174,0,2
9065,55175,0,2
9066,55176,0,2
9067,55177,1,2
9068,55178,1,0
9069,55179,0,2
9070,55180,1,2
9071,55181,0,2
9072,55182,0,2
9073,55183,0,2
9074,55184,0,2
9075,55185,1,2
9076,55186,0,2
9077,55187,1,2
9078,55188,2,2
9079,55189,1,2
9080,55190,0,2
9081,55191,2,2
9082,55192,1,2
9083,55193,1,2
9084,55194,1,2
9085,55195,0,2
9086,55196,0,2
9087,55197,2,2
9088,55198,0,2
9089,55199,1,2
9090,55200,1,2
9091,55201,0,2
9092,55202,0,2
9093,55203,0,2
9094,55204,0,2
9095,55205,1,2
9096,55206,1,2
9097,55207,2,2
9098,55208,1,2
9099,55209,1,2
9100,55210,1,2
9101,55211,2,2
9102,55212,1,2
9103,55213,2,2
9104,55214,2,2
9105,55215,1,2
9106,55216,2,2
9107,55217,0,2
9108,55218,1,2
9109,55219,2,2
9110,55220,0,2
9111,55221,1,2
9112,55222,0,2
9113,55223,1,2
9114,55224,0,2
9115,55225,1,0
9116,55226,0,2
9117,55227,1,2
9118,55228,2,2
9119,55229,0,2
9120,55230,0,2
9121,55231,0,2
9122,55232,1,0
9123,55332,1,2
9124,55333,0,2
9125,55334,0,2
9126,55335,2,2
9127,55336,2,2
9128,55337,0,2
9129,55338,0,2
9130,55339,2,2
9131,55340,0,2
9132,55341,1,2
9133,55342,0,2
9134,55343,0,2
9135,55344,1,2
9136,55345,0,2
9137,55346,0,2
9138,55347,0,2
9139,55348,0,2
9140,55349,0,2
9141,55350,1,2
9142,55351,0,2
9143,55352,0,2
9144,55353,1,2
9145,55354,0,2
9146,55355,1,2
9147,55356,2,2
9148,55357,1,2
9149,55358,1,2
9150,55359,1,2
9151,55360,1,2
9152,55361,1,2
9153,55362,1,2
9154,55363,0,2
9155,55364,1,2
9156,55365,1,2
9157,55366,1,2
9158,55367,1,2
9159,55368,0,2
9160,55369,1,2
9161,55370,1,2
9162,55371,1,0
9163,55372,0,2
9164,55373,0,2
9165,55374,0,2
9166,55375,1,2
9167,55376,0,2
9168,55377,0,2
9169,55378,1,0
9170,55379,1,2
9171,55380,1,2
9172,55381,1,2
9173,55382,1,0
9174,55383,2,2
9175,55384,2,2
9176,55385,0,2
9177,55386,0,2
9178,55387,0,2
9179,55388,0,2
9180,55389,0,2
9181,55390,2,2
9182,55391,0,2
9183,55392,0,2
9184,55393,2,2
9185,55394,0,2
9186,55395,1,0
9187,55396,0,2
9188,55397,2,2
9189,55398,1,2
9190,55399,1,2
9191,55400,0,2
9192,55401,0,2
9193,55402,1,2
9194,55403,2,2
9195,55404,0,2
9196,55405,1,2
9197,55406,2,2
9198,55407,0,2
9199,55408,0,2
9200,55409,1,2
9201,55410,1,2
9202,55411,1,2
9203,55412,0,2
9204,55413,1,2
9205,55414,0,2
9206,55415,0,2
9207,55416,2,2
9208,55417,0,2
9209,55418,1,2
9210,55419,1,2
9211,55420,1,2
9212,55421,1,2
9213,55422,1,2
9214,55423,1,2
9215,55424,1,2
9216,55425,1,2
9217,55426,2,2
9218,55427,1,2
9219,55428,1,2
9220,55429,0,2
9221,55430,0,2
9222,55431,1,2
9223,55432,0,2
9224,55433,1,2
9225,55434,1,2
9226,55435,0,2
9227,55436,1,2
9228,55437,2,2
9229,55438,0,2
9230,55439,0,2
9231,55440,0,0
9232,55441,1,0
9233,55442,2,2
9234,55443,1,0
9235,55444,0,2
9236,55445,2,2
9237,55446,0,2
9238,55447,2,2
9239,55448,0,2
9240,55449,0,2
9241,55450,2,2
9242,55451,0,2
9243,55452,1,0
9244,55453,1,0
9245,55454,1,1
9246,55455,0,2
9247,55456,2,2
9248,55457,0,2
9249,55458,0,2
9250,55459,0,2
9251,55460,0,2
9252,55461,0,2
9253,55462,0,2
9254,55463,1,2
9255,55464,1,2
9256,55465,0,2
9257,55466,1,2
9258,55467,0,2
9259,55468,1,2
9260,55469,1,2
9261,55470,0,2
9262,55471,0,2
9263,55472,0,2
9264,55473,0,2
9265,55474,0,2
9266,55475,0,2
9267,55476,1,2
9268,55477,1,2
9269,55478,1,2
9270,55479,1,2
9271,55480,1,2
9272,55481,1,2
9273,55482,1,2
9274,55483,1,2
9275,55484,1,2
9276,55485,1,2
9277,55486,2,2
9278,55487,0,2
9279,55488,0,2
9280,55489,2,2
9281,55490,1,2
9282,55491,0,2
9283,55492,1,0
9284,55493,1,2
9285,55494,1,2
9286,55495,1,0
9287,55496,1,0
9288,55497,0,2
9289,55498,0,2
9290,55499,0,2
9291,55500,0,2
9292,55501,0,2
9293,55502,1,2
9294,55503,1,0
9295,55504,2,2
9296,55505,2,2
9297,55506,1,2
9298,55507,1,2
9299,55508,0,2
9300,55509,0,2
9301,55510,2,2
9302,55511,1,2
9303,55512,0,2
9304,55513,1,2
9305,55514,1,2
9306,55515,1,2
9307,55516,1,2
9308,55517,0,2
9309,55518,0,2
9310,55519,0,2
9311,55520,1,2
9312,55521,0,2
9313,55522,0,2
9314,55523,0,2
9315,55524,1,2
9316,55525,0,2
9317,55526,0,2
9318,55527,0,2
9319,55528,0,2
9320,55529,2,2
9321,55530,0,2
9322,55531,1,2
9323,55532,0,2
9324,55533,1,2
9325,55534,0,2
9326,55535,1,2
9327,55536,2,2
9328,55537,0,2
9329,55538,0,2
9330,55539,1,0
9331,55540,1,2
9332,55541,0,2
9333,55542,0,2
9334,55543,0,2
9335,55544,1,2
9336,55545,0,2
9337,55546,0,2
9338,55547,2,2
9339,55548,0,2
9340,55549,1,0
9341,55550,1,2
9342,55551,1,2
9343,55552,1,2
9344,55553,2,2
9345,55554,1,0
9346,55555,1,0
9347,55556,1,0
9348,55557,1,2
9349,55558,0,2
9350,55559,0,2
9351,55560,0,2
9352,55561,1,2
9353,55562,0,2
9354,55563,0,2
9355,55564,1,2
9356,55565,2,2
9357,55566,0,2
9358,55567,0,2
9359,55568,1,2
9360,55569,0,2
9361,55570,1,2
9362,55571,0,2
9363,55572,0,2
9364,55573,0,2
9365,55574,0,2
9366,55575,2,2
9367,55576,2,2
9368,55577,2,2
9369,55578,2,2
9370,55579,0,2
9371,55580,0,2
9372,55581,0,2
9373,55582,1,2
9374,55583,1,2
9375,55584,1,2
9376,55585,1,2
9377,55586,1,2
9378,55587,1,2
9379,55588,1,2
9380,55589,1,2
9381,55590,1,2
9382,55591,1,2
9383,55592,0,2
9384,55593,0,2
9385,55594,0,2
9386,55595,0,2
9387,55596,0,2
9388,55597,0,2
9389,55598,0,2
9390,55599,1,0
9391,55600,0,2
9392,55601,1,2
9393,55602,1,2
9394,55603,0,2
9395,55604,0,2
9396,55605,0,2
9397,55606,0,0
9398,55607,2,2
9399,55608,0,2
9400,55609,0,0
9401,55610,0,2
9402,55611,1,2
9403,55612,1,2
9404,55613,0,2
9405,55614,0,2
9406,55615,0,2
9407,55616,0,2
9408,55617,0,2
9409,55618,0,2
9410,55619,0,2
9411,55620,0,2
9412,55621,1,2
9413,55622,0,2
9414,55623,2,2
9415,55624,1,2
9416,55625,1,2
9417,55626,0,2
9418,55627,0,2
9419,55628,0,2
9420,55629,1,2
9421,55630,1,2
9422,55631,1,2
9423,55632,0,2
9424,55633,0,2
9425,55634,0,2
9426,55635,0,2
9427,55636,0,2
9428,55637,1,2
9429,55638,0,2
9430,55639,1,2
9431,55640,1,2
9432,55641,1,2
9433,55642,1,2
9434,55643,0,2
9435,55644,1,2
9436,55645,1,2
9437,55646,1,2
9438,55647,1,2
9439,55648,1,2
9440,55649,1,2
9441,55650,2,2
9442,55651,2,2
9443,55652,2,2
9444,55653,1,2
9445,55654,1,2
9446,55655,1,2
9447,55656,0,2
9448,55657,0,2
9449,55658,0,2
9450,55659,1,0
9451,55660,1,2
9452,55661,0,2
9453,55662,0,2
9454,55663,1,0
9455,55664,0,2
9456,55665,0,2
9457,55666,2,2
9458,55667,0,2
9459,55668,0,2
9460,55669,0,2
9461,55670,0,2
9462,55671,1,2
9463,55672,1,0
9464,55673,0,2
9465,55674,0,2
9466,55675,0,2
9467,55676,0,2
9468,55677,0,2
9469,55678,0,2
9470,55679,1,2
9471,55680,1,0
9472,55681,2,2
9473,55682,1,0
9474,55683,1,2
9475,55684,0,2
9476,55685,0,2
9477,55686,2,2
9478,55687,1,0
9479,55688,1,2
9480,55689,1,2
9481,55690,0,2
9482,55691,0,2
9483,55692,1,2
9484,55693,1,2
9485,55694,0,2
9486,55695,0,2
9487,55696,1,2
9488,55697,1,2
9489,55698,0,2
9490,55699,1,2
9491,55700,1,2
9492,55701,2,2
9493,55702,0,2
9494,55703,1,2
9495,55704,0,2
9496,55705,0,2
9497,55706,0,2
9498,55707,1,2
9499,55708,0,2
9500,55709,2,2
9501,55710,1,2
9502,55711,2,2
9503,55712,1,2
9504,55713,1,2
9505,55714,1,2
9506,55715,1,2
9507,55716,1,2
9508,55717,1,2
9509,55718,0,2
9510,55719,1,2
9511,55720,0,2
9512,55721,0,2
9513,55722,0,2
9514,55723,1,2
9515,55724,1,2
9516,55725,2,2
9517,55726,1,2
9518,55727,1,2
9519,55728,0,2
9520,55729,0,2
9521,55730,0,2
9522,55731,1,2
9523,55732,1,2
9524,55733,1,0
9525,55734,1,0
9526,55735,1,0
9527,55736,1,0
9528,55737,2,2
9529,55738,1,0
9530,55739,2,2
9531,55740,1,0
9532,55741,0,2
9533,55742,1,2
9534,55743,1,2
9535,55744,0,2
9536,55745,0,2
9537,55746,0,2
9538,55747,0,2
9539,55748,0,2
9540,55749,0,2
9541,55750,0,2
9542,55751,1,2
9543,55752,0,2
9544,55753,0,2
9545,55754,1,0
9546,55755,0,2
9547,55756,0,2
9548,55757,0,2
9549,55758,0,2
9550,55759,0,2
9551,55760,2,2
9552,55761,1,2
9553,55762,0,2
9554,55763,1,2
9555,55764,0,2
9556,55765,0,2
9557,55766,0,2
9558,55767,2,2
9559,55768,2,2
9560,55769,0,2
9561,55770,1,2
9562,55771,0,2
9563,55772,2,2
9564,55773,2,2
9565,55774,1,2
9566,55775,1,2
9567,55776,2,2
9568,55777,1,2
9569,55778,0,2
9570,55779,1,2
9571,55780,1,2
9572,55781,1,2
9573,55782,1,2
9574,55783,2,2
9575,55784,0,2
9576,55785,0,2
9577,55786,0,2
9578,55787,1,2
9579,55788,1,2
9580,55789,1,2
9581,55790,0,2
9582,55791,1,2
9583,55792,0,2
9584,55793,1,2
9585,55794,0,2
9586,55795,0,2
9587,55796,0,2
9588,55797,0,2
9589,55798,1,2
9590,55799,0,2
9591,55800,0,2
9592,55801,0,2
9593,55802,1,2
9594,55803,0,0
9595,55804,0,0
9596,55805,0,2
9597,55806,1,2
9598,55807,0,2
9599,55808,1,2
9600,55809,1,2
9601,55810,1,2
9602,55811,2,2
9603,55812,0,2
9604,55813,1,0
9605,55814,0,2
9606,55815,0,2
9607,55816,0,2
9608,55817,2,2
9609,55818,1,2
9610,55819,0,2
9611,55820,0,2
9612,55821,1,2
9613,55822,1,0
9614,55823,1,0
9615,55824,1,2
9616,55825,1,2
9617,55826,0,2
9618,55827,0,2
9619,55828,0,2
9620,55829,1,2
9621,55830,1,2
9622,55831,1,2
9623,55832,1,2
9624,55833,0,2
9625,55834,0,2
9626,55835,1,2
9627,55836,1,2
9628,55837,1,2
9629,55838,0,2
9630,55839,2,2
9631,55840,2,2
9632,55841,0,2
9633,55842,0,2
9634,55843,1,2
9635,55844,0,2
9636,55845,1,2
9637,55846,1,2
9638,55847,1,2
9639,55848,1,2
9640,55849,1,2
9641,55850,2,2
9642,55851,1,2
9643,55852,1,2
9644,55853,1,2
9645,55854,1,2
9646,55855,0,0
9647,55856,0,0
9648,55857,1,2
9649,55858,0,2
9650,55859,0,2
9651,55860,0,0
9652,55861,0,2
9653,55862,0,2
9654,55863,0,2
9655,55864,1,0
9656,55865,1,0
9657,55866,2,2
9658,55867,1,0
9659,55868,1,0
9660,55869,1,0
9661,55870,1,1
9662,55871,1,2
9663,55872,0,2
9664,55873,2,2
9665,55874,0,2
9666,55875,0,2
9667,55876,0,2
9668,55877,0,2
9669,55878,0,2
9670,55879,0,2
9671,55880,0,2
9672,55881,1,2
9673,55882,1,2
9674,55883,1,2
9675,55884,0,2
9676,55885,1,2
9677,55886,1,2
9678,55887,1,2
9679,55888,0,2
9680,55889,2,2
9681,55890,0,2
9682,55891,0,2
