SalesOrderNumber,SalesAmount,MonthNum,WeekdayNum,Loyalty in Years,YearlyIncome,Education,Occupation,HouseOwnerFlag,NumberCarsOwned,Max CommuteDistance,MaritalStatus,NumberChildrenAtHome,TotalChildren,Gender
SO50001,2071.42 €,10,1,7,70000,High School,Professional,0,2,10,S,0,2,F
SO50002,2443.35 €,10,1,7,10000,High School,Manual,1,0,5,S,1,1,F
SO50003,782.99 €,10,1,7,40000,Bachelors,Management,1,2,10,S,0,2,M
SO50004,2071.42 €,10,2,7,40000,Partial College,Clerical,1,1,2,M,0,1,F
SO50005,2181.56 €,10,2,7,30000,Partial College,Clerical,0,1,5,S,0,0,M
SO50006,782.99 €,10,2,7,30000,Bachelors,Skilled Manual,1,1,1,M,1,1,M
SO50007,2071.42 €,10,2,7,70000,High School,Skilled Manual,1,2,10,S,0,2,F
SO50008,2071.42 €,10,2,7,70000,Bachelors,Professional,1,3,11,S,0,0,F
SO50009,1000.44 €,10,2,7,90000,Bachelors,Professional,1,0,5,M,0,2,M
SO50010,2443.35 €,10,2,7,10000,High School,Manual,0,0,2,S,1,1,M
SO50011,2049.10 €,10,3,7,40000,Partial College,Clerical,0,1,2,S,0,2,M
SO50012,2049.10 €,10,3,7,50000,Bachelors,Skilled Manual,1,0,5,M,1,1,M
SO50013,2181.56 €,10,3,7,40000,Bachelors,Clerical,0,0,1,M,0,0,F
SO50014,2443.35 €,10,3,7,40000,Bachelors,Skilled Manual,1,1,1,M,0,1,F
SO50015,1000.44 €,10,3,7,20000,Bachelors,Clerical,1,0,1,S,0,1,M
SO50016,782.99 €,10,3,7,10000,High School,Manual,1,1,1,S,2,2,F
SO50017,782.99 €,10,3,7,40000,Graduate Degree,Clerical,1,0,1,M,0,0,M
SO50018,782.99 €,10,3,7,30000,Bachelors,Clerical,1,0,2,S,0,1,M
SO50019,2181.56 €,10,3,7,40000,Partial College,Clerical,1,1,2,S,3,3,F
SO50020,2049.10 €,10,3,7,40000,Bachelors,Skilled Manual,1,0,2,M,1,1,F
SO50021,2049.10 €,10,3,7,60000,Graduate Degree,Skilled Manual,0,0,1,S,0,0,F
SO50022,2049.10 €,10,3,7,20000,Partial High School,Manual,0,2,1,S,0,0,M
SO50023,782.99 €,10,3,7,70000,Partial College,Professional,1,0,10,M,2,3,F
SO50024,782.99 €,10,3,7,70000,Bachelors,Management,1,3,11,S,0,5,M
SO50025,1000.44 €,10,3,7,60000,Bachelors,Management,1,3,11,S,0,5,F
SO50026,2071.42 €,10,3,7,90000,Bachelors,Professional,1,0,2,S,4,4,F
SO50027,2181.56 €,10,3,7,20000,Partial High School,Clerical,1,2,10,M,1,2,F
SO50028,2181.56 €,10,3,7,20000,Partial High School,Clerical,1,2,10,M,1,2,F
SO50029,2071.42 €,10,4,7,80000,Graduate Degree,Skilled Manual,1,0,1,M,0,5,M
SO50030,2071.42 €,10,4,7,40000,Partial College,Clerical,1,1,2,S,0,2,M
SO50031,782.99 €,10,4,7,10000,High School,Manual,0,1,5,S,1,1,M
SO50032,2443.35 €,10,4,7,70000,Graduate Degree,Professional,1,0,5,S,0,5,F
SO50033,2071.42 €,10,4,7,20000,Partial High School,Manual,0,2,2,S,0,0,F
SO50034,2071.42 €,10,4,7,90000,Bachelors,Professional,0,3,11,M,0,0,F
SO50035,2181.56 €,10,4,7,20000,Partial High School,Clerical,1,2,10,M,1,2,F
SO50036,2071.42 €,10,5,7,30000,High School,Clerical,0,1,2,M,0,1,F
SO50037,2181.56 €,10,5,7,30000,Partial College,Clerical,1,1,1,S,2,2,F
SO50038,2181.56 €,10,5,7,10000,Partial High School,Manual,1,0,1,S,4,4,F
SO50039,2443.35 €,10,5,7,20000,High School,Manual,1,1,1,S,3,3,M
SO50040,2071.42 €,10,5,7,20000,Partial College,Manual,1,0,1,S,0,0,M
SO50041,782.99 €,10,5,7,80000,Bachelors,Management,0,1,2,S,0,0,M
SO50042,782.99 €,10,5,7,150000,Bachelors,Management,0,2,1,S,0,0,M
SO50043,1000.44 €,10,5,7,60000,Partial College,Professional,1,1,11,M,1,2,M
SO50044,2443.35 €,10,5,7,10000,Partial College,Manual,0,1,1,M,0,0,M
SO50045,782.99 €,10,5,7,20000,Partial College,Manual,0,0,1,S,0,0,F
SO50046,2443.35 €,10,6,7,40000,Bachelors,Clerical,1,0,1,M,0,0,M
SO50047,2181.56 €,10,6,7,30000,Bachelors,Skilled Manual,1,2,1,M,1,1,M
SO50048,1000.44 €,10,6,7,40000,Partial College,Clerical,1,2,1,S,2,2,F
SO50049,2071.42 €,10,6,7,40000,Partial College,Clerical,1,0,2,S,2,2,M
SO50050,2071.42 €,10,6,7,10000,High School,Manual,0,0,5,S,1,1,M
SO50051,2071.42 €,10,6,7,90000,Bachelors,Professional,0,2,11,S,0,0,M
SO50052,2071.42 €,10,6,7,40000,Partial College,Clerical,1,1,2,M,0,1,M
SO50053,2181.56 €,10,7,7,40000,Bachelors,Professional,0,0,1,M,0,0,F
SO50054,2443.35 €,10,7,7,10000,Partial High School,Manual,1,2,1,S,2,3,F
SO50055,1000.44 €,10,7,7,20000,High School,Manual,1,1,1,S,4,4,F
SO50056,782.99 €,10,7,7,80000,Bachelors,Management,1,1,2,M,0,0,F
SO50057,782.99 €,10,7,7,40000,Partial College,Skilled Manual,0,1,2,S,0,0,F
SO50058,1000.44 €,10,7,7,60000,Partial College,Professional,0,2,5,M,1,2,F
SO50059,1000.44 €,10,7,7,60000,Partial College,Professional,1,2,5,M,1,2,M
SO50060,2049.10 €,10,7,7,110000,Partial High School,Professional,1,4,11,M,5,0,M
SO50061,2181.56 €,10,7,7,10000,High School,Manual,0,2,1,S,0,0,F
SO50062,2181.56 €,10,7,7,10000,High School,Manual,1,0,5,M,1,1,F
SO50063,2181.56 €,10,7,7,20000,Bachelors,Clerical,0,0,1,S,0,0,F
SO50064,2181.56 €,10,7,7,20000,Partial High School,Clerical,1,2,2,M,1,2,M
SO50065,2049.10 €,10,7,7,20000,Partial College,Manual,1,0,1,S,0,0,F
SO50066,2181.56 €,10,7,7,30000,Partial College,Clerical,0,2,2,M,0,2,F
SO50067,782.99 €,10,7,7,20000,Bachelors,Clerical,1,0,1,M,0,0,F
SO50068,782.99 €,10,7,7,40000,Bachelors,Management,0,2,1,S,0,2,M
SO50069,2181.56 €,10,1,7,20000,Partial College,Manual,0,1,1,S,1,1,F
SO50070,2049.10 €,10,1,7,20000,Partial College,Manual,1,1,5,M,0,2,F
SO50071,2049.10 €,10,1,7,40000,Bachelors,Skilled Manual,1,0,1,M,0,1,F
SO50072,2049.10 €,10,1,7,20000,Bachelors,Clerical,1,0,1,S,0,0,M
SO50073,782.99 €,10,1,7,50000,Graduate Degree,Skilled Manual,1,0,2,S,0,0,F
SO50074,2071.42 €,10,1,7,70000,Graduate Degree,Professional,1,0,5,M,0,5,M
SO50075,2071.42 €,10,1,7,80000,Partial College,Skilled Manual,1,2,10,M,0,2,M
SO50076,2181.56 €,10,1,7,10000,High School,Manual,0,0,2,S,1,1,F
SO50077,2443.35 €,10,1,7,40000,Bachelors,Management,1,2,10,M,0,2,F
SO50078,2443.35 €,10,1,7,30000,Partial College,Clerical,0,2,2,S,0,2,M
SO50079,2181.56 €,10,1,7,30000,Partial College,Clerical,0,2,2,M,0,2,F
SO50080,2071.42 €,10,2,7,40000,Partial College,Clerical,0,1,2,S,0,2,M
SO50081,782.99 €,10,2,7,30000,Bachelors,Clerical,1,0,1,S,0,0,M
SO50082,782.99 €,10,2,7,20000,Partial College,Manual,0,1,1,S,1,1,M
SO50083,782.99 €,10,2,7,40000,Graduate Degree,Clerical,1,0,1,M,0,0,F
SO50084,2049.10 €,10,2,7,10000,Partial College,Manual,1,0,1,S,0,2,F
SO50085,2181.56 €,10,2,7,10000,High School,Manual,0,2,1,S,0,0,F
SO50086,2443.35 €,10,2,7,20000,Bachelors,Clerical,1,0,1,M,0,0,M
SO50087,2049.10 €,10,3,7,50000,Bachelors,Skilled Manual,0,1,1,S,2,2,M
SO50088,2181.56 €,10,3,7,40000,Graduate Degree,Clerical,1,0,1,M,0,0,M
SO50089,1000.44 €,10,3,7,40000,Graduate Degree,Clerical,1,0,1,M,0,0,F
SO50090,782.99 €,10,3,7,20000,Partial College,Manual,0,1,5,S,0,0,F
SO50091,782.99 €,10,3,7,30000,Bachelors,Clerical,1,0,2,M,0,1,M
SO50092,2071.42 €,10,3,7,10000,High School,Manual,0,1,5,S,1,1,F
SO50093,782.99 €,10,3,7,80000,Bachelors,Management,1,1,5,M,1,2,M
SO50094,2071.42 €,10,3,7,130000,Graduate Degree,Management,1,1,10,S,1,0,M
SO50095,2049.10 €,10,3,7,80000,High School,Skilled Manual,1,2,10,M,0,2,M
SO50096,2181.56 €,10,4,7,40000,Graduate Degree,Clerical,1,0,1,M,0,0,M
SO50097,782.99 €,10,4,7,40000,Graduate Degree,Clerical,1,0,1,M,0,0,F
SO50098,782.99 €,10,4,7,80000,Bachelors,Management,0,1,1,S,0,0,M
SO50099,782.99 €,10,4,7,120000,Bachelors,Management,0,3,1,S,0,0,M
SO50100,1000.44 €,10,4,7,60000,Bachelors,Management,1,2,11,M,0,4,F
SO50101,2443.35 €,10,5,7,40000,Bachelors,Skilled Manual,1,1,1,M,0,1,F
SO50102,2443.35 €,10,5,7,70000,Graduate Degree,Professional,1,0,5,S,0,5,M
SO50103,782.99 €,10,5,7,40000,High School,Skilled Manual,0,2,1,S,0,0,F
SO50104,1000.44 €,10,5,7,70000,Bachelors,Management,1,1,11,M,1,4,M
SO50105,1000.44 €,10,5,7,60000,Bachelors,Professional,1,1,5,M,2,2,M
SO50106,782.99 €,10,5,7,120000,Partial High School,Management,1,4,11,M,5,0,M
SO50107,2049.10 €,10,6,7,50000,Bachelors,Skilled Manual,1,0,5,M,1,1,M
SO50108,2181.56 €,10,6,7,30000,Bachelors,Clerical,1,0,5,M,1,1,F
SO50109,2181.56 €,10,6,7,30000,Bachelors,Skilled Manual,1,2,1,M,1,1,F
SO50110,782.99 €,10,6,7,40000,Graduate Degree,Clerical,1,0,1,S,0,0,M
SO50111,2181.56 €,10,6,7,30000,Partial College,Clerical,1,2,10,M,0,2,F
SO50112,782.99 €,10,6,7,10000,Partial College,Manual,0,1,1,M,0,0,M
SO50113,2049.10 €,10,7,7,40000,Partial College,Clerical,0,1,2,S,0,2,M
SO50114,2071.42 €,10,7,7,60000,Graduate Degree,Skilled Manual,1,0,5,M,0,1,M
SO50115,2181.56 €,10,7,7,30000,Bachelors,Clerical,1,0,1,M,0,0,M
SO50116,2181.56 €,10,7,7,40000,Bachelors,Skilled Manual,1,0,1,M,0,1,M
SO50117,2181.56 €,10,7,7,20000,Bachelors,Clerical,1,0,1,M,0,1,M
SO50118,782.99 €,10,7,7,20000,Partial College,Manual,1,1,2,M,0,2,M
SO50119,2181.56 €,10,7,7,80000,Bachelors,Skilled Manual,1,1,1,S,3,3,F
SO50120,2071.42 €,10,7,7,10000,High School,Manual,1,0,5,M,1,1,M
SO50121,2071.42 €,10,7,7,20000,Partial College,Manual,0,0,1,S,0,0,M
SO50122,782.99 €,10,7,7,80000,Bachelors,Management,1,1,2,M,0,0,F
SO50123,782.99 €,10,7,7,70000,Partial College,Professional,1,0,10,S,1,2,M
SO50124,2071.42 €,10,7,7,70000,Graduate Degree,Professional,1,0,5,M,0,4,M
SO50125,2049.10 €,10,7,7,60000,Bachelors,Professional,1,1,1,M,0,1,M
SO50126,2071.42 €,10,7,7,90000,Bachelors,Professional,0,3,11,S,0,0,M
SO50127,2443.35 €,10,7,7,20000,Bachelors,Clerical,1,0,1,M,0,0,F
SO50128,2071.42 €,10,1,7,30000,High School,Skilled Manual,0,2,1,S,0,2,F
SO50129,2181.56 €,10,1,7,20000,High School,Manual,1,1,1,S,2,2,F
SO50130,1000.44 €,10,1,7,30000,Graduate Degree,Clerical,1,0,1,M,0,1,F
SO50131,782.99 €,10,1,7,30000,Bachelors,Clerical,1,0,1,S,0,0,M
SO50132,782.99 €,10,1,7,30000,Bachelors,Clerical,1,0,5,M,1,1,M
SO50133,2049.10 €,10,1,7,10000,Partial College,Manual,1,0,1,S,0,1,F
SO50134,2071.42 €,10,1,7,10000,Partial College,Manual,0,1,1,S,0,0,F
SO50135,2071.42 €,10,1,7,20000,Bachelors,Clerical,1,0,1,S,0,0,M
SO50136,782.99 €,10,1,7,80000,Bachelors,Management,0,1,1,M,0,0,F
SO50137,782.99 €,10,1,7,40000,High School,Skilled Manual,1,3,11,S,4,4,F
SO50138,1000.44 €,10,1,7,60000,Partial College,Professional,1,2,5,M,1,2,F
SO50139,2071.42 €,10,1,7,70000,High School,Skilled Manual,1,2,10,S,0,2,F
SO50140,2443.35 €,10,1,7,10000,Partial College,Manual,1,1,5,M,0,0,M
SO50141,2443.35 €,10,1,7,20000,Partial College,Manual,1,0,1,M,0,0,F
SO50142,782.99 €,10,1,7,20000,Bachelors,Clerical,0,0,1,M,0,0,M
SO50143,2049.10 €,10,2,7,30000,High School,Clerical,1,1,5,M,0,1,F
SO50144,1000.44 €,10,2,7,30000,Bachelors,Skilled Manual,1,1,1,M,1,1,F
SO50145,1000.44 €,10,2,7,30000,Graduate Degree,Clerical,1,0,1,M,0,1,M
SO50146,2181.56 €,10,2,7,70000,Graduate Degree,Professional,1,0,5,M,0,5,M
SO50147,782.99 €,10,2,7,40000,Partial High School,Skilled Manual,1,3,11,S,1,2,F
SO50148,782.99 €,10,2,7,130000,Graduate Degree,Management,1,4,2,M,1,1,F
SO50149,2071.42 €,10,2,7,90000,Bachelors,Professional,1,3,11,S,0,0,F
SO50150,782.99 €,10,2,7,10000,High School,Manual,1,2,1,S,0,0,M
SO50151,782.99 €,10,2,7,70000,Bachelors,Professional,1,1,10,S,0,0,M
SO50152,2181.56 €,10,3,7,10000,Partial College,Manual,1,2,1,S,0,3,M
SO50153,782.99 €,10,3,7,40000,Bachelors,Skilled Manual,1,0,1,M,0,1,F
SO50154,2181.56 €,10,3,7,80000,Graduate Degree,Professional,1,0,1,M,0,2,F
SO50155,2071.42 €,10,3,7,20000,Bachelors,Clerical,1,0,1,M,0,0,M
SO50156,2049.10 €,10,3,7,20000,Bachelors,Clerical,1,0,1,M,0,0,M
SO50157,2071.42 €,10,3,7,70000,Bachelors,Professional,0,3,11,S,0,0,M
SO50158,2071.42 €,10,3,7,120000,Partial High School,Professional,1,4,11,M,5,5,M
SO50159,2443.35 €,10,3,7,10000,High School,Manual,0,2,1,S,0,0,M
SO50160,782.99 €,10,3,7,70000,Graduate Degree,Professional,1,0,1,M,0,1,F
SO50161,2181.56 €,10,3,7,20000,High School,Skilled Manual,1,2,10,M,0,4,M
SO50162,782.99 €,10,3,7,10000,High School,Manual,0,2,1,S,0,0,F
SO50163,2071.42 €,10,4,7,70000,Graduate Degree,Skilled Manual,1,0,2,M,1,1,F
SO50164,2181.56 €,10,4,7,30000,Bachelors,Clerical,1,0,2,M,0,1,F
SO50165,2181.56 €,10,4,7,40000,Graduate Degree,Clerical,1,0,1,M,0,0,F
SO50166,1000.44 €,10,4,7,20000,High School,Manual,1,0,1,S,3,3,F
SO50167,2181.56 €,10,4,7,80000,Graduate Degree,Professional,1,0,1,M,0,3,M
SO50168,2071.42 €,10,4,7,10000,High School,Manual,0,0,5,S,1,1,F
SO50169,2071.42 €,10,4,7,10000,High School,Manual,1,0,5,M,1,1,F
SO50170,2181.56 €,10,4,7,20000,Partial High School,Clerical,0,2,2,M,1,2,M
SO50171,2181.56 €,10,5,7,30000,Partial College,Clerical,0,0,1,M,2,2,M
SO50172,1000.44 €,10,5,7,10000,High School,Manual,1,0,1,S,3,3,F
SO50173,1000.44 €,10,5,7,110000,Graduate Degree,Management,1,1,5,M,0,1,M
SO50174,2181.56 €,10,5,7,10000,High School,Manual,1,2,1,M,0,0,M
SO50175,2181.56 €,10,5,7,20000,Partial College,Manual,0,0,1,S,0,0,M
SO50176,2181.56 €,10,5,7,30000,Bachelors,Skilled Manual,1,2,1,M,1,1,F
SO50177,782.99 €,10,5,7,40000,Bachelors,Management,1,2,10,M,0,2,M
SO50178,2071.42 €,10,6,7,60000,Graduate Degree,Skilled Manual,0,0,1,S,0,1,F
SO50179,2181.56 €,10,6,7,10000,Partial College,Manual,1,2,1,S,0,3,M
SO50180,2443.35 €,10,6,7,30000,Bachelors,Clerical,1,0,2,M,0,1,M
SO50181,1000.44 €,10,6,7,10000,Partial College,Manual,1,1,1,M,0,2,F
SO50182,782.99 €,10,6,7,10000,Partial High School,Manual,1,1,1,S,3,5,M
SO50183,782.99 €,10,6,7,40000,Bachelors,Professional,0,0,1,M,0,0,F
SO50184,2049.10 €,10,6,7,10000,Graduate Degree,Clerical,1,0,1,M,0,1,F
SO50185,2049.10 €,10,6,7,110000,High School,Management,1,3,11,M,5,4,F
SO50186,1000.44 €,10,6,7,70000,High School,Professional,1,2,11,S,1,2,F
SO50187,2049.10 €,10,6,7,110000,High School,Management,0,4,11,M,5,0,F
SO50188,782.99 €,10,6,7,10000,High School,Manual,1,0,5,M,1,1,M
SO50323,2071.42 €,11,1,7,80000,Graduate Degree,Professional,1,0,1,M,0,3,F
SO50324,2181.56 €,11,1,7,90000,Partial College,Professional,1,1,11,M,2,4,M
SO50325,2071.42 €,11,1,7,80000,Bachelors,Skilled Manual,0,1,1,S,3,3,M
SO50326,2071.42 €,11,1,7,60000,Graduate Degree,Professional,1,0,1,M,0,2,F
SO50327,782.99 €,11,1,7,40000,Bachelors,Skilled Manual,1,0,2,M,1,1,F
SO50328,2071.42 €,11,1,7,40000,Graduate Degree,Clerical,1,0,1,M,0,0,F
SO50329,2071.42 €,11,1,7,40000,Graduate Degree,Clerical,1,0,1,S,0,0,F
SO50330,782.99 €,11,1,7,40000,High School,Professional,1,2,11,S,1,2,F
SO50331,782.99 €,11,1,7,70000,Partial College,Professional,1,2,11,S,2,4,M
SO50332,1000.44 €,11,1,7,60000,Partial College,Skilled Manual,0,1,1,S,0,1,F
SO50333,2071.42 €,11,1,7,60000,Bachelors,Professional,1,1,5,M,2,2,M
SO50334,2049.10 €,11,1,7,90000,Bachelors,Professional,1,0,1,M,0,0,M
SO50335,2071.42 €,11,1,7,20000,Bachelors,Clerical,1,0,1,M,0,0,M
SO50336,2049.10 €,11,2,7,80000,Bachelors,Management,1,1,2,S,0,0,M
SO50337,2049.10 €,11,2,7,70000,Bachelors,Professional,1,2,5,M,2,4,F
SO50338,2181.56 €,11,2,7,30000,Graduate Degree,Clerical,1,0,1,M,0,1,F
SO50339,2181.56 €,11,2,7,40000,Bachelors,Skilled Manual,1,0,1,M,0,1,F
SO50340,2181.56 €,11,2,7,40000,Bachelors,Professional,0,0,1,M,0,0,F
SO50341,2071.42 €,11,2,7,50000,Bachelors,Skilled Manual,1,1,5,S,2,2,F
SO50342,2049.10 €,11,2,7,60000,Partial College,Professional,0,1,5,S,1,2,M
SO50343,2181.56 €,11,2,7,60000,Graduate Degree,Professional,0,0,1,S,0,1,F
SO50344,782.99 €,11,2,7,90000,Partial College,Professional,1,3,5,M,5,5,F
SO50345,2071.42 €,11,2,7,90000,Bachelors,Professional,1,1,5,M,0,1,F
SO50346,2071.42 €,11,2,7,60000,Bachelors,Professional,1,1,5,M,2,2,M
SO50347,2071.42 €,11,3,7,40000,High School,Professional,1,3,11,M,0,5,M
SO50348,1000.44 €,11,3,7,40000,Graduate Degree,Clerical,1,0,1,M,0,0,F
SO50349,1000.44 €,11,3,7,10000,Partial High School,Manual,1,1,1,S,3,3,M
SO50350,782.99 €,11,3,7,40000,Bachelors,Skilled Manual,1,0,1,M,0,1,M
SO50351,782.99 €,11,3,7,60000,Bachelors,Management,1,3,11,S,0,4,M
SO50352,782.99 €,11,3,7,130000,Bachelors,Management,0,3,1,S,2,2,F
SO50353,1000.44 €,11,3,7,100000,Partial College,Professional,1,4,5,M,1,4,M
SO50354,1000.44 €,11,3,7,90000,Partial College,Professional,0,2,5,S,0,0,M
SO50355,2071.42 €,11,3,7,60000,Graduate Degree,Management,1,1,10,S,0,2,F
SO50356,2071.42 €,11,3,7,70000,Bachelors,Professional,1,4,11,M,5,5,M
SO50357,2071.42 €,11,3,7,10000,High School,Manual,1,2,1,S,0,0,M
SO50358,782.99 €,11,3,7,70000,Bachelors,Professional,0,2,10,S,0,0,F
SO50359,2443.35 €,11,3,7,20000,Partial High School,Clerical,1,2,2,M,1,2,M
SO50360,2443.35 €,11,3,7,70000,High School,Skilled Manual,1,2,10,S,0,2,F
SO50361,1000.44 €,11,3,7,30000,Partial College,Clerical,0,1,1,S,0,0,F
SO50362,2049.10 €,11,4,7,60000,Graduate Degree,Professional,1,0,5,S,0,0,F
SO50363,2049.10 €,11,4,7,60000,Graduate Degree,Professional,1,0,5,M,0,1,M
SO50364,782.99 €,11,4,7,40000,Bachelors,Skilled Manual,1,1,1,M,0,1,F
SO50365,2443.35 €,11,4,7,60000,Bachelors,Professional,1,1,5,S,0,0,M
SO50366,2443.35 €,11,4,7,50000,Graduate Degree,Skilled Manual,0,0,1,M,1,1,M
SO50367,1000.44 €,11,4,7,40000,Partial College,Skilled Manual,0,2,2,S,0,0,F
SO50368,2049.10 €,11,4,7,40000,Bachelors,Management,1,2,10,S,0,2,M
SO50369,2071.42 €,11,4,7,10000,High School,Manual,1,2,1,S,0,0,F
SO50370,2181.56 €,11,4,7,20000,Partial College,Manual,1,1,1,M,0,2,M
SO50371,2181.56 €,11,5,7,30000,Partial College,Clerical,1,1,1,S,2,2,M
SO50372,2049.10 €,11,5,7,70000,Partial High School,Skilled Manual,0,2,5,S,1,2,F
SO50373,2049.10 €,11,5,7,40000,Bachelors,Skilled Manual,1,1,1,M,1,1,F
SO50374,1000.44 €,11,5,7,20000,Partial College,Manual,0,1,2,S,1,1,M
SO50375,1000.44 €,11,5,7,30000,Partial College,Clerical,1,1,1,M,0,1,M
SO50376,1000.44 €,11,5,7,30000,Partial College,Clerical,1,1,1,M,0,1,M
SO50377,782.99 €,11,5,7,30000,Partial College,Clerical,1,0,1,S,2,2,M
SO50378,782.99 €,11,5,7,20000,High School,Manual,1,4,1,S,3,3,M
SO50379,2049.10 €,11,5,7,130000,Partial College,Professional,1,4,10,M,3,2,M
SO50380,2071.42 €,11,5,7,100000,Bachelors,Management,1,4,11,M,3,2,M
SO50381,2071.42 €,11,5,7,30000,Partial College,Clerical,1,2,10,S,0,2,F
SO50382,2049.10 €,11,5,7,120000,Graduate Degree,Management,1,2,1,S,0,1,M
SO50383,782.99 €,11,5,7,110000,Partial College,Management,1,3,11,S,5,0,M
SO50384,782.99 €,11,5,7,110000,Partial High School,Professional,0,4,11,S,5,0,F
SO50385,2071.42 €,11,6,7,60000,Graduate Degree,Professional,0,0,1,S,0,1,M
SO50386,2181.56 €,11,6,7,20000,Partial College,Manual,1,1,5,M,0,2,M
SO50387,2071.42 €,11,6,7,70000,Bachelors,Management,1,3,11,S,0,5,F
SO50388,2071.42 €,11,6,7,60000,Bachelors,Skilled Manual,0,0,1,S,2,2,F
SO50389,2049.10 €,11,6,7,30000,Bachelors,Clerical,1,0,5,M,1,1,M
SO50390,2071.42 €,11,6,7,130000,Partial College,Professional,1,2,1,M,4,2,F
SO50391,782.99 €,11,6,7,60000,Partial College,Professional,0,2,5,S,1,2,F
SO50392,782.99 €,11,6,7,60000,Partial College,Professional,1,2,5,M,1,2,M
SO50393,782.99 €,11,6,7,70000,Partial College,Professional,1,2,11,S,2,5,M
SO50394,782.99 €,11,6,7,60000,Partial College,Skilled Manual,1,1,1,M,0,1,M
SO50395,1000.44 €,11,6,7,100000,Partial College,Professional,1,4,5,M,1,4,M
SO50396,2049.10 €,11,6,7,10000,Partial High School,Clerical,1,2,2,M,1,2,M
SO50397,2049.10 €,11,6,7,110000,Graduate Degree,Management,1,1,5,M,0,1,F
SO50398,2049.10 €,11,6,7,20000,Bachelors,Clerical,0,0,1,M,0,0,M
SO50399,2181.56 €,11,6,7,60000,Bachelors,Professional,1,2,10,S,2,3,F
SO50400,2443.35 €,11,7,7,130000,High School,Professional,0,3,1,S,5,4,M
SO50401,2181.56 €,11,7,7,130000,Partial College,Professional,1,2,10,M,4,2,M
SO50402,2049.10 €,11,7,7,60000,Graduate Degree,Professional,1,0,5,M,0,2,M
SO50403,782.99 €,11,7,7,30000,Partial College,Clerical,1,1,1,M,0,1,M
SO50404,2049.10 €,11,7,7,20000,Partial College,Manual,1,1,5,M,0,2,M
SO50405,1000.44 €,11,7,7,130000,Graduate Degree,Management,0,3,1,S,2,2,M
SO50406,2049.10 €,11,7,7,60000,Partial College,Skilled Manual,1,1,1,M,0,1,M
SO50407,2181.56 €,11,7,7,70000,High School,Skilled Manual,1,2,10,M,0,2,M
SO50408,2181.56 €,11,7,7,120000,Graduate Degree,Management,0,2,1,S,0,1,F
SO50409,2181.56 €,11,1,7,130000,High School,Management,1,3,1,M,5,4,M
SO50410,2181.56 €,11,1,7,120000,Partial High School,Professional,1,4,10,M,4,3,M
SO50411,2181.56 €,11,1,7,130000,Partial College,Professional,1,3,1,M,4,3,F
SO50412,2049.10 €,11,1,7,60000,Bachelors,Skilled Manual,1,0,5,S,2,2,F
SO50413,2071.42 €,11,1,7,70000,Graduate Degree,Professional,0,0,1,S,0,3,M
SO50414,1000.44 €,11,1,7,30000,Bachelors,Clerical,1,0,1,M,0,3,F
SO50415,782.99 €,11,1,7,10000,Partial College,Manual,1,1,1,S,0,2,M
SO50416,2049.10 €,11,1,7,20000,Partial College,Manual,1,1,5,M,0,2,F
SO50417,2049.10 €,11,1,7,70000,High School,Professional,1,2,11,M,1,5,F
SO50418,782.99 €,11,1,7,70000,Partial College,Professional,1,2,11,S,1,4,F
SO50419,1000.44 €,11,1,7,90000,Partial College,Professional,1,0,10,S,1,2,M
SO50420,1000.44 €,11,1,7,70000,Bachelors,Professional,0,1,1,S,0,0,F
SO50421,2049.10 €,11,1,7,90000,Bachelors,Professional,0,3,11,S,0,0,M
SO50422,2071.42 €,11,1,7,70000,Bachelors,Professional,1,1,10,S,0,0,F
SO50423,2443.35 €,11,1,7,60000,Bachelors,Professional,0,1,1,S,2,2,F
SO50424,2181.56 €,11,2,7,30000,Partial College,Clerical,0,2,1,M,2,2,M
SO50425,2049.10 €,11,2,7,60000,Partial College,Professional,0,2,5,S,1,2,F
SO50426,2071.42 €,11,2,7,60000,Bachelors,Skilled Manual,1,2,5,M,2,4,F
SO50427,782.99 €,11,2,7,90000,Partial College,Professional,1,3,1,M,5,5,M
SO50428,1000.44 €,11,2,7,70000,Partial College,Professional,1,2,5,M,2,5,F
SO50429,1000.44 €,11,2,7,110000,Graduate Degree,Management,1,2,5,M,2,1,F
SO50430,1000.44 €,11,2,7,90000,Bachelors,Professional,1,0,5,M,0,0,M
SO50431,2443.35 €,11,2,7,90000,Bachelors,Professional,1,0,5,M,0,2,F
SO50432,2181.56 €,11,3,7,20000,Partial College,Manual,1,1,1,M,0,2,M
SO50433,782.99 €,11,3,7,20000,Partial College,Manual,0,0,1,S,1,1,F
SO50434,2181.56 €,11,3,7,80000,Bachelors,Skilled Manual,1,3,11,S,3,3,F
SO50435,2071.42 €,11,3,7,20000,Partial High School,Manual,0,2,1,S,0,0,F
SO50436,1000.44 €,11,3,7,70000,Bachelors,Professional,1,1,10,S,0,0,F
SO50437,2049.10 €,11,3,7,20000,Bachelors,Clerical,1,0,1,M,0,0,F
SO50438,2181.56 €,11,4,7,20000,Partial College,Manual,1,1,2,M,0,2,M
SO50439,2049.10 €,11,4,7,70000,Graduate Degree,Professional,1,0,5,M,0,4,M
SO50440,1000.44 €,11,4,7,40000,Bachelors,Skilled Manual,1,0,1,M,0,1,F
SO50441,782.99 €,11,4,7,40000,Bachelors,Skilled Manual,1,0,1,M,0,1,F
